# d-spacing, counts, errors
1.382500000000002593e+01,3.670000000000000000e+02,1.915724406066801677e+01
1.387500000000002665e+01,3.650000000000000000e+02,1.910497317454279909e+01
1.392500000000002736e+01,3.280000000000000000e+02,1.811077027627483460e+01
1.397500000000002807e+01,3.660000000000000000e+02,1.913112646970899178e+01
1.402500000000002878e+01,3.000000000000000000e+02,1.732050807568877460e+01
1.407500000000002949e+01,2.830000000000000000e+02,1.682260384126072239e+01
1.412500000000003020e+01,3.340000000000000000e+02,1.827566688249706672e+01
1.417500000000003091e+01,3.130000000000000000e+02,1.769180601295413169e+01
1.422500000000003162e+01,2.730000000000000000e+02,1.652271164185830443e+01
1.427500000000003233e+01,3.130000000000000000e+02,1.769180601295413169e+01
1.432500000000003304e+01,3.060000000000000000e+02,1.749285568453590045e+01
1.437500000000003375e+01,3.230000000000000000e+02,1.797220075561142849e+01
1.442500000000003446e+01,3.290000000000000000e+02,1.813835714721705372e+01
1.447500000000003517e+01,2.960000000000000000e+02,1.720465053408525335e+01
1.452500000000003588e+01,3.510000000000000000e+02,1.873499399519519315e+01
1.457500000000003659e+01,3.330000000000000000e+02,1.824828759089465890e+01
1.462500000000003730e+01,3.060000000000000000e+02,1.749285568453590045e+01
1.467500000000003801e+01,3.320000000000000000e+02,1.822086715828859838e+01
1.472500000000003872e+01,3.370000000000000000e+02,1.835755975068581947e+01
1.477500000000003944e+01,3.540000000000000000e+02,1.881488772222677852e+01
1.482500000000004015e+01,3.500000000000000000e+02,1.870828693386970798e+01
1.487500000000004086e+01,4.120000000000000000e+02,2.029778313018443825e+01
1.492500000000004157e+01,4.240000000000000000e+02,2.059126028197400160e+01
1.497500000000004228e+01,4.500000000000000000e+02,2.121320343559642652e+01
1.502500000000004299e+01,5.220000000000000000e+02,2.284731931759172596e+01
1.507500000000004370e+01,5.880000000000000000e+02,2.424871130596428159e+01
1.512500000000004441e+01,6.740000000000000000e+02,2.596150997149434048e+01
1.517500000000004512e+01,7.380000000000000000e+02,2.716615541441224835e+01
1.522500000000004583e+01,7.100000000000000000e+02,2.664582518894845720e+01
1.527500000000004654e+01,7.950000000000000000e+02,2.819574435974336879e+01
1.532500000000004725e+01,8.060000000000000000e+02,2.839013913315677939e+01
1.537500000000004796e+01,9.080000000000000000e+02,3.013303834663872749e+01
1.542500000000004867e+01,8.750000000000000000e+02,2.958039891549807976e+01
1.547500000000004938e+01,9.050000000000000000e+02,3.008321791298264714e+01
1.552500000000005009e+01,9.650000000000000000e+02,3.106444913401813324e+01
1.557500000000005080e+01,9.280000000000000000e+02,3.046309242345563462e+01
1.562500000000005151e+01,8.910000000000000000e+02,2.984962311319860007e+01
1.567500000000005222e+01,9.530000000000000000e+02,3.087069808086626210e+01
1.572500000000005294e+01,9.130000000000000000e+02,3.021588985947625616e+01
1.577500000000005365e+01,8.610000000000000000e+02,2.934280150224241979e+01
1.582500000000005436e+01,9.010000000000000000e+02,3.001666203960726875e+01
1.587500000000005507e+01,8.510000000000000000e+02,2.917190429162964449e+01
1.592500000000005578e+01,8.030000000000000000e+02,2.833725463060950744e+01
1.597500000000005649e+01,7.970000000000000000e+02,2.823118842698620767e+01
1.602500000000005542e+01,7.180000000000000000e+02,2.679552201394852418e+01
1.607500000000005969e+01,6.070000000000000000e+02,2.463736998950983903e+01
1.612500000000005684e+01,6.160000000000000000e+02,2.481934729198171397e+01
1.617500000000006111e+01,5.830000000000000000e+02,2.414539293529927377e+01
